ID,Reference,Species,Synonym,Family,Growth_form,Life_span,Tissue,Seed_Cat,Leaf_strategy,Leaf_form,PS_type,Dr,Lr,Wr,Dl,Hs,Ws,DBH,Vr,Vs,Drel,Lrel,Y_Xshoot,Y_Xroot,S_Ry,S_Rx,Biome,Eco_Name,Realm,Eco_ID,Vegetation,Location,Lat,Long,Spatial_buffer,Elevation,Soil_description,USDA_soil_texture,EU_soil_texture,Water_Table_Depth_Fan,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,MAP,MAE,Ai,Sa,Msur,Mdef,Psur,Pdef,Rclass,Rregime,Aclass
1,Abbott et al. 1991,Agropyron cristatum,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.75,0.6,NA,NA,NA,NA,NA,0.57,NA,NA,NA,NA,0.63,NA,NA,Deserts & Xeric Shrublands,Snake-Columbia shrub steppe,NA.,51309,S,INEL. Idaho. USA,43.52,-112.05,27.087,1441,sandy loam to clay,SaClLo,M,NA,279.57,14.07,34.99,936.02,298.05,257.85,40.2,284.2,290.23,290.95,267.7,0.038,0.019,22.39799,0.098,0.062,0.073,0.07,0.224,1.042,0.21,0.029,3,8,0.029,0.768,B,E,sa
2,Abbott et al. 1991,Artemisia tridentata ssp. wyomingensis,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,0.75,0.45,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,0.83,NA,NA,Deserts & Xeric Shrublands,Snake-Columbia shrub steppe,NA.,51309,S,INEL. Idaho. USA,43.52,-112.05,27.087,1441,sandy loam to clay,SaLo,C,NA,279.57,14.07,34.99,936.02,298.05,257.85,40.2,284.2,290.23,290.95,267.7,0.038,0.019,22.39799,0.098,0.062,0.073,0.07,0.224,1.042,0.21,0.029,3,8,0.029,0.768,B,E,sa
3,Abbott et al. 1991,Chrysothamnus viscidiflorus,,Asteraceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,1,0.5,NA,NA,NA,NA,NA,0.52,NA,NA,NA,NA,1,NA,NA,Deserts & Xeric Shrublands,Snake-Columbia shrub steppe,NA.,51309,S,E of Idaho Falls; ID (INEL),43.52,-112.05,27.087,1441,sandy loam to clay,SaClLo,M,NA,279.57,14.07,34.99,936.02,298.05,257.85,40.2,284.2,290.23,290.95,267.7,0.038,0.019,22.39799,0.098,0.062,0.073,0.07,0.224,1.042,0.21,0.029,3,8,0.029,0.768,B,E,sa
4,Abbott et al. 1991,Elymus elymoides,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.5,0.6,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,0.42,NA,NA,Deserts & Xeric Shrublands,Snake-Columbia shrub steppe,NA.,51309,S,INEL. Idaho. USA,43.52,-112.05,27.087,1441,sandy loam to clay,SaLo,C,NA,279.5667,14.06667,34.99171,936.0175,298.05,257.85,40.2,284.2,290.2333,290.95,267.7,0.038,0.019,22.39799,0.098,0.062,0.073,0.07,0.224,1.042,0.21,0.029,3,8,0.029,0.768,B,E,sa
5,Abbott et al. 1991,Elymus lanceolatus,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.75,0.8,NA,NA,NA,NA,NA,1.01,NA,NA,NA,NA,0.47,NA,NA,Deserts & Xeric Shrublands,Snake-Columbia shrub steppe,NA.,51309,S,INEL. Idaho. USA,43.52,-112.05,27.087,1441,sandy loam to clay,Cl,F,NA,279.5667,14.06667,34.99171,936.0175,298.05,257.85,40.2,284.2,290.2333,290.95,267.7,0.038,0.019,22.39799,0.098,0.062,0.073,0.07,0.224,1.042,0.21,0.029,3,8,0.029,0.768,B,E,sa
6,Abbott et al. 1991,Leymus cinereus,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,1,0.9,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,0.56,NA,NA,Deserts & Xeric Shrublands,Snake-Columbia shrub steppe,NA.,51309,S,INEL. Idaho. USA,43.52,-112.05,27.087,1441,sandy loam to clay,SaLo,C,NA,279.5667,14.06667,34.99171,936.0175,298.05,257.85,40.2,284.2,290.2333,290.95,267.7,0.038,0.019,22.39799,0.098,0.062,0.073,0.07,0.224,1.042,0.21,0.029,3,8,0.029,0.768,B,E,sa
7,Adams 1967,Acacia seyal,,Fabaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.2,8,NA,NA,NA,NA,NA,160.85,NA,NA,NA,NA,0.08,NA,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,Sahelian Acacia savanna,AT,30713,T,Sahel. Sudan,13.15,34.33,47.244,439,clay,Cl,F,NA,301.11,15.13,73.82,198.06,310.95,290.45,20.5,300.08,300.25,303.75,299.0333,0.178,0,134.5661,0.414,0,0.114,0,0.62,2.237,0.28,0.018,1,11,0.018,1.702,D,S,sa
8,Adams 1967,Balanites aegyptiaca,family: Balanitaceae,Zygophyllaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.3,7,NA,NA,NA,NA,NA,133.41,NA,NA,NA,NA,0.09,NA,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,Sahelian Acacia savanna,AT,30713,T,Sahel. Sudan,13.15,34.33,47.244,439,clay,Cl,F,NA,301.11,15.13,73.82,198.06,310.95,290.45,20.5,300.08,300.25,303.75,299.0333,0.178,0,134.5661,0.414,0,0.114,0,0.62,2.237,0.28,0.018,1,11,0.018,1.702,D,S,sa
9,Adams 1967,Acacia mellifera,,Fabaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,0.6,15,NA,NA,NA,NA,NA,282.74,NA,NA,NA,NA,0.02,NA,NA,Tropical & Subtropical Grasslands; Savannas & Shrublands,Sahelian Acacia savanna,AT,30713,T,Sahel. Sudan,14.44,33.98,24.711,439,clay,Cl,F,NA,301.46,16.49,69.29,260.72,312.85,289.05,23.8,301.85,298.95,304.65,297.8333,0.115,0,144.7999,0.258,0,0.045,0,0.55,2.268,0.24,0,0,12,0,1.953,D,S,sa
10,Ahmet Birand 1938,Achillea wilhelmsii,Achillea santolina,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.11,0.14,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.39,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
11,Ahmet Birand 1938,Ajuga chamaepitys ssp. chia,Ajuga chia,Lamiaceae,Forb,P,Herbaceous,Dicot,,,C3,0.32,0.11,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,1.45,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
12,Ahmet Birand 1938:p. 152,Alhagi pseudalhagi,Alhagi camelorum,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
13,Ahmet Birand 1938,Allium scorodoprasum ssp. rotundum,Allium rotundum,Amaryllidaceae,Forb,P,Herbaceous,Monocot,,,C3,0.07,0.03,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.17,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
14,Ahmet Birand 1938,Alyssum linifolium,,Brassicaceae,Forb,A,Herbaceous,Dicot,,,C3,0.21,0.08,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.31,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
15,Ahmet Birand 1938,Amygdalus orientalis,,Rosaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
16,Ahmet Birand 1938,Artemisia lerchiana,Artemisia fragrans,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,1.3,0.23,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,2.83,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
17,Ahmet Birand 1938,Astragalus micropterus,,Fabaceae,Semi-shrub,P,Woody,Dicot,,,C3,1.36,0.1,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,6.8,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
18,Ahmet Birand 1938,Consolida regalis ssp. paniculata,Delphinium paniculatum,Ranunculaceae,Forb,A,Herbaceous,Dicot,,,C3,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
19,Ahmet Birand 1938,Convolvulus galaticus,,Convolvulaceae,Forb,P,Herbaceous,Dicot,,,C3,0.36,0.8,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,0.23,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
20,Ahmet Birand 1938,Convolvulus galaticus,,Convolvulaceae,Forb,P,Herbaceous,Dicot,,,C3,1.67,0.16,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,5.22,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
21,Ahmet Birand 1938,Crocus ancyrensis,,Iridaceae,Forb,P,Herbaceous,Monocot,,,C3,0.06,0.03,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
22,Ahmet Birand 1938,Euphorbia macroclada,Euphorbia tinctoria,Euphorbiaceae,Forb,P,Herbaceous,Dicot,,,C3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
23,Ahmet Birand 1938,Hypecoum procumbens,,Papaveraceae,Forb,A,Herbaceous,Dicot,,,C3,0.2,0.07,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.43,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
24,Ahmet Birand 1938,Iris acutiloba,,Iridaceae,Forb,P,Herbaceous,Monocot,,,C3,0.09,0.08,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.56,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
25,Ahmet Birand 1938,Linum hirsutum,Linum anatolicum,Linaceae,Forb,P,Herbaceous,Dicot,,,C3,0.32,0.14,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,1.14,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
26,Ahmet Birand 1938,Moltkia aurea,,Boraginaceae,Forb,P,Herbaceous,Dicot,,,C3,0.18,0.16,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.56,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
27,Ahmet Birand 1938,Onosma montana,Onosma aucherianum,Boraginaceae,Forb,P,Herbaceous,Dicot,,,C3,0.35,0.25,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,0.7,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
28,Ahmet Birand 1938,Peganum harmala,,Peganaceae,Forb,P,Herbaceous,Dicot,,,C3,1.4,3,NA,NA,NA,NA,NA,26.39,NA,NA,NA,NA,0.23,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
29,Ahmet Birand 1938:p. 152,Querucs cerris,,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
30,Ahmet Birand 1938,Ranunculus illyricus,,Ranunculaceae,Forb,P,Herbaceous,Dicot,,,C3,0.18,0.05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.8,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
31,Ahmet Birand 1938,Salvia ceratophylla,,Lamiaceae,Forb,P,Herbaceous,Dicot,,,C3,0.43,0.11,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,1.95,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
32,Ahmet Birand 1938,Scolymus hispanicus,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
33,Ahmet Birand 1938,Silene dichotoma,,Caryophyllaceae,Forb,A,Herbaceous,Dicot,,,C3,0.17,0.08,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.06,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
34,Ahmet Birand 1938,Wiedemannia orientalis,Wiedmannia orientalis,Lamiaceae,Forb,A,Herbaceous,Dicot,,,C3,0.23,0.08,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.44,NA,NA,Montane Grasslands & Shrublands,Central Anatolian steppe and woodlands,PA,80410,G,Ankara. Turkey,39.97,32.8,88.347,850,,,,NA,284.17,11.87,34.1,836.35,300.55,265.75,34.8,283.27,294.05,294.33,273.8333,0.054,0.011,39.91762,0.136,0.041,0.06,0.131,0.3,1.13,0.27,0.057,3,9,0.057,0.78,C,W,sa
35,Albertson 1937,Ambrosia psilostachya,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.59,0.05,NA,NA,0.2,0.1,NA,0.01,0.00105,1518.338157,47.74648293,2,15.9,0.13,1,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
36,Albertson 1937,Amorpha canescens,,Fabaceae,Semi-shrub,P,Woody,Dicot,,,C3,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
37,Albertson 1937,Andropogon gerardi,Andropogon furcatus,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,2.13,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
38,Albertson 1937,Argythamnia mercurialina,Ditaxis mercurialina,Euphorbiaceae,Semi-shrub,P,Woody,Dicot,,,C3,0.61,0.23,NA,NA,0.44,0.21,NA,0.07,0.01016,60.03989814,22.63799438,2.1,1.33,0.72,0.46,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
39,Albertson 1937,Aristida longiseta,Aristida purpurea,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.75,0.15,NA,NA,0.43,0.3,NA,0.08,0.02026,86.36314741,7.402555493,1.43,5.83,0.25,1,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
40,Albertson 1937,Asclepias asperula ssp. capricornu,Asclepiodora decumbens; family: Asclepiadaceae,Apocynaceae,Forb,P,Herbaceous,Dicot,,,C3,0.61,0.77,NA,NA,0.16,0.65,NA,0.76,0.0354,17.23393762,21.75431471,0.25,0.4,0.26,0.42,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
41,Albertson 1937,Aster multiflorus,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.2,0.18,NA,NA,0.35,0.21,NA,0.08,0.00808,148.4827457,22.27241186,1.67,3.33,0.29,0.58,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
42,Albertson 1937,Bouteloua curtipendula,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.91,0.22,NA,NA,0.52,0.17,NA,0.19,0.00787,242.7356465,27.9590797,3.06,4.34,0.27,0.39,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
43,Albertson 1937,Bouteloua gracilis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
44,Albertson 1937,Bouteloua gracilis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.68,0.19,NA,NA,0.34,0.11,NA,0.13,0.00215,779.9133818,88.20448961,3.09,4.42,0.2,0.29,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
45,Albertson 1937:40,Brickellia eupatorioides,Kuhnia glutinosa,Asteraceae,Semi-shrub,P,Woody,Dicot,,broad-leaf,C3,3.35,0.16,NA,NA,0.31,0.46,NA,0.18,0.03435,97.53687286,4.65847751,0.67,10.47,0.09,1.44,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
